Name,Address,Operation,Homepage,Type,Rate,Img
가마솥해장국국밥,대전 대덕구 산업단지로87번길 13 1층 (우)34328,토 07:30 ~ 18:00,https://place.map.kakao.com/967498945,해장국,4.9,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEF7C5727418A419989C3573E4B0B624F
띠울석갈비 본점,대전 대덕구 신탄진로 209 (우)34348,매일 11:30 ~ 22:00,https://place.map.kakao.com/8939690,갈비,2.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0AB85C19372A4436B4DA7A0B317C648E
공주쌍신집칼국수 대청호점,대전 대덕구 대청로 572 1층 (우)34316,매일 11:00 ~ 20:00,https://place.map.kakao.com/1702386597,칼국수,184.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCF09CE4DFDBE460DB02245090E500C3C
임단아갈비탕&찜 본점,대전 대덕구 신탄진동로 13 1층 (우)34311,매일 11:00 ~ 22:00,https://place.map.kakao.com/49649726,갈비,3.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5038c6b7ca1fdb30e61a57da540fb8511c489ce529d1523689679fd4dc488962
송촌주먹구이 송촌점,대전 대덕구 송촌북로4번길 35-5 1층 (우)34409,매일 16:00 ~ 23:00,https://place.map.kakao.com/11289001,"육류,고기",4.5,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F588319D0B69247608CBFCAA7E42DA4F5
왕짬뽕순두부 1호점,대전 대덕구 비래서로 25 1층 (우)34417,수~일 10:30 ~ 20:00 (재료 소진 시 조기 마감될 수 있어요 [출처] [왕짬뽕순두부] 면이 쫀득쫀득~ 돈까스도 존맛탱|작성자 먕이),https://place.map.kakao.com/26920811,두부전문점,3.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF22A5E6AC01D4200880CDB47F6639798
나래원,대전 대덕구 비래동로16번길 13 1층 (우)34418,매일 10:00 ~ 21:30,https://place.map.kakao.com/25987830,닭요리,4.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0A20688B71BE44FB90014A700BC94B73
스타벅스 대전한남대DT점,대전 대덕구 한밭대로 1122 (우)34426,매일 07:00 ~ 22:00,https://place.map.kakao.com/1714770622,스타벅스,4.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0FC186F548334A1DAA6625CE7F712306
오리사랑,대전 대덕구 계족산로81번길 39 (우)34409,매일 10:00 ~ 22:30,https://place.map.kakao.com/8492385,오리,4.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC4F647504EA244F4A6AB4375C359BABA
미강손짜장,대전 대덕구 덕암로181번길 19 1층 (우)34333,화~일 11:00 ~ 21:00,https://place.map.kakao.com/20030409,중국요리,4.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa03cabe420d09f73a55a6d04dd2265cfdfb8ba65%3Foriginal
황해식당,대전 대덕구 신탄진로 61 1층 (우)34352,매일 10:00 ~ 20:00,https://place.map.kakao.com/10030513,죽,3.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2DD14E7F44464DAD87D1E27B93CC1528
갈랩,대전 대덕구 송촌북로4번길 47-17 1층 (우)34409,월~토 16:30 ~ 23:00,https://place.map.kakao.com/1892032939,갈비,4.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F611ACB3649FA4BEFA3797B5EDA246A8E
킴스돈까스전문점,대전 대덕구 한남로 61 한남캠퍼스타운 2층 (우)34432,매일 10:30 ~ 21:00,https://place.map.kakao.com/9538374,"돈까스,우동",4.3,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F62C8D0FDC4A1478BB8ECE032B981112A
맥도날드 대전신탄진DT점,대전 대덕구 신탄진로 605 1-2층 (우)34332,매일 06:00 ~ 00:30,https://place.map.kakao.com/22105346,맥도날드,2.4,
찌글이짜글이 본점,대전 대덕구 대덕대로1454번길 13 1층 (우)34323,매일 06:00 ~ 22:00,https://place.map.kakao.com/10772323,"찌개,전골",3.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F175413474F6C06DC08
신세카이,대전 대덕구 한남로17번길 16-5 1층 (우)34431,매일 12:00 ~ 24:00,https://place.map.kakao.com/1981627814,일식,3.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD18CF320CE5A444E8FCBE96BB83FB070
하늘돈까스백반 중리점,대전 대덕구 한밭대로 1093 1층 (우)34393,월~토 11:00 ~ 20:30,https://place.map.kakao.com/286405097,한식,4.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAD01BC29DDEC47F3B570C3649251A74F
장수촌 송촌점,대전 대덕구 동춘당로44번길 19 (우)34404,매일 10:00 ~ 22:00,https://place.map.kakao.com/26345382,닭요리,4.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F256E0A3D55F263F239
일미구이 중리점,대전 대덕구 중리로 14 1층 (우)34395,매일 16:00 ~ 22:30,https://place.map.kakao.com/8407374,"육류,고기",3.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1556F43C4F96638F07
한사라,대전 대덕구 송촌북로20번길 21-9 1층 (우)34408,월~토 18:00 ~ 24:00,https://place.map.kakao.com/1485083708,일식,4.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F60E2798603E24464BDBFEA08ED8EF16F
검상골,대전 대덕구 중리남로 22 1층 (우)34390,월~토 11:00 ~ 03:00,https://place.map.kakao.com/12556081,두부전문점,3.5,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8B99186B4D4D4E05BF77ECF623A3EAE0
카페아마떼 대청호점,대전 대덕구 대청로424번길 554 1층 (우)34316,매일 09:30 ~ 20:30,https://place.map.kakao.com/1801528555,카페,3.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE6B826C964004DBE9A9C1A4BF31BB794
월산본가 송촌점,대전 대덕구 계족산로81번길 87 (우)34407,"월,화,목,금,토,일 11:00 ~ 22:00",https://place.map.kakao.com/8542580,냉면,3.9,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBB94EDCE6FD14124BE8B85B7197B3CCA
스타벅스 대전IC DT점,대전 대덕구 동서대로 1776 (우)34419,매일 07:00 ~ 22:00,https://place.map.kakao.com/27299361,스타벅스,4.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F46E6E00E539F4CA3A0183FF0A9E90436
진원소우 대전송촌점,대전 대덕구 송촌북로 42 (우)34407,매일 11:30 ~ 22:00,https://place.map.kakao.com/1574893247,"육류,고기",4.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F254C3568C70E4CA8A449D25964A37354
뚝배기에담은이탈리아,대전 대덕구 송촌북로4번길 47-10 (우)34409,매일 11:30 ~ 22:00,https://place.map.kakao.com/26642197,양식,3.3,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0E67EA4D41014810AE9743F45098D4DB
혜성옥,대전 대덕구 한밭대로 1147 1층 (우)34395,매일 00:00 ~ 24:00,https://place.map.kakao.com/11201568,설렁탕,3.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC6E3901B391143DA8759D17B5D689F98
로켓,대전 대덕구 계족로521번길 74 (우)34428,매일 17:00 ~ 05:00,https://place.map.kakao.com/817364427,카페,4.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4448279B98464BDFBDDA607346FF8233
보은순대,대전 대덕구 송촌남로 55 (우)34424,"월,수,목,금,토,일 08:00 ~ 21:30",https://place.map.kakao.com/21242902,순대,4.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F00A12C7902DF412081FA720BDAF903D7
